id,ra,dec,x,y,use_phot,flag_eazy,flag_star,flag_artifact,flag_nearbcg,nusefilt,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,z_spec,mu,mu_low_68,mu_high_68,flux_radius,iso_area,use_aper,f_f090w,e_f090w,w_f090w,f_f115w,e_f115w,w_f115w,f_f150w,e_f150w,w_f150w,f_f200w,e_f200w,w_f200w,f_f277w,e_f277w,w_f277w,f_f356w,e_f356w,w_f356w,f_f444w,e_f444w,w_f444w
18,3.590782,-30.46729,6785.411,4.978185,1,1,0,0,0,11,6.593701,4.746492,0.9123763,5.816934,6.345094,6.623205,6.729246,,1.239989,1.236944,1.249612,0.1452719,0.0592,0.32,0.1145884,0.3010766,0.2412242,0.8760363,0.2452211,0.4789223,0.6383985,0.2080759,0.8839289,0.6300611,0.1678549,0.824529,0.8928932,0.1461017,0.7291923,1.383878,0.13333,0.6621317,0.8757168,0.2090368,0.2668152
21,3.619187,-30.46727,4581.935,5.927492,1,1,0,0,0,10,6.717789,8.287678,0.6781408,1.336326,5.371153,6.678694,6.854881,,1.25076,1.24701,1.261057,0.3574951,0.048,0.32,1.286969,0.8848233,0.2260373,2.742089,0.8163785,0.3497166,0.8877087,0.6750888,0.6796068,0.9684034,0.5376493,0.6504206,1.978092,0.4490021,0.6248483,2.743617,0.4003437,0.5943646,0.6076652,0.6303013,0.2375078
22,3.611557,-30.46724,5173.827,8.83728,1,1,0,0,0,9,6.686461,7.625628,0.7576506,4.045612,6.694707,18.10365,19.657,,1.255836,1.250776,1.266561,0.145726,0.008,0.32,0.4208005,0.3447565,0.2272162,0.7297374,0.3495001,0.2911897,-0.2443831,0.2840684,0.5857399,0.02256354,0.2279089,0.5523838,0.3987957,0.193007,0.5160553,0.908313,0.1741972,0.4790794,0.399385,0.2716969,0.1950635
25,3.600791,-30.46726,6008.999,7.673992,1,1,0,0,0,9,9.199473,4.415653,0.4261084,2.146918,7.381172,10.47655,14.96233,,1.257219,1.252367,1.265842,0.1041859,0.0192,0.32,-0.2455223,0.2242352,0.2352903,-0.01101051,0.1856165,0.4522564,0.3909447,0.1551069,0.8606684,0.2219817,0.1256852,0.7956869,0.2513736,0.1057892,0.7525016,0.4642971,0.09568483,0.6955864,0.3324644,0.1550025,0.2625522
27,3.59047,-30.46724,6809.589,9.21686,1,1,0,0,0,11,10.22311,8.951763,0.4735282,2.474593,8.741518,11.26213,16.57888,,1.244934,1.239403,1.256295,0.1088563,0.008,0.32,-0.04275815,0.2599685,0.2316203,-0.1882634,0.2040662,0.4950878,0.4488583,0.1787436,0.8575187,0.2193091,0.1447387,0.7938672,0.2549321,0.1248906,0.7143916,0.4077001,0.1094567,0.7033299,0.3034228,0.1719508,0.2822871
44,3.621318,-30.46716,4416.666,16.44922,1,1,0,0,0,10,9.680591,1.648704,1.322563,9.064644,9.73213,10.39034,11.1396,,1.253647,1.248674,1.265488,0.2191709,0.008,0.32,0.074996,0.5606697,0.2218957,-0.2501551,0.5179607,0.3424329,1.735482,0.4278999,0.6667526,1.350194,0.3531029,0.5943735,1.149447,0.289837,0.5910622,0.9485249,0.254482,0.5797947,0.9727434,0.3977016,0.2351416
61,3.621324,-30.4671,4416.153,21.81006,1,1,0,0,0,10,9.662755,7.587176,0.1207827,0.8249492,9.540332,10.3701,11.09171,,1.253855,1.249292,1.263546,0.3129953,0.0176,0.32,0.3516553,0.9744752,0.2230098,-0.05840378,0.8967079,0.3468724,3.304176,0.7432566,0.6709254,2.508667,0.6109594,0.6027538,2.478356,0.5006285,0.6014678,1.828141,0.4390997,0.5912416,0.9406105,0.6887726,0.2380099
65,3.649452,-30.4671,2234.211,21.09939,1,1,0,0,0,7,6.664793,5.800972,0.1110417,0.9788821,4.285487,6.48394,7.035395,,1.206774,1.203368,1.218973,0.1493174,0.0352,0.32,,,,1.32089,0.7337596,0.05653323,2.448459,0.59739,0.113338,1.42116,0.4786096,0.1071869,1.89812,0.3820226,0.1127211,2.275786,0.3521368,0.1003247,0.3822723,0.5437241,0.04168016
76,3.618776,-30.46709,4613.849,22.99378,1,1,0,0,0,10,9.592759,8.634475,0.5549012,2.106845,8.718061,11.08103,16.78387,,1.25653,1.251587,1.267437,0.7638364,0.0768,0.32,0.04868841,0.2272881,0.2224281,-0.3239885,0.207211,0.3524712,0.5075813,0.1723468,0.6770534,0.2010988,0.1374481,0.6461972,0.5298702,0.1148174,0.6204481,0.5489173,0.1040314,0.5715308,0.6465082,0.1616731,0.2343951
109,3.599556,-30.46696,6104.817,34.56252,1,1,0,0,0,9,9.442903,2.799756,0.2989663,1.848893,7.100915,10.77427,15.12477,,1.257816,1.252466,1.267427,0.1416883,0.0176,0.32,-0.07975875,0.3128218,0.2335573,0.101922,0.260269,0.444374,0.4260043,0.2175331,0.8453234,0.3962846,0.1760207,0.783717,0.5439472,0.1474599,0.7481996,0.4470459,0.1328656,0.696928,0.5234114,0.2097013,0.277119
163,3.622158,-30.46676,4351.5,51.97772,1,1,0,0,0,10,7.188175,12.76931,0.4665602,4.051218,7.066613,18.59666,19.80517,,1.250534,1.245008,1.26143,0.1727743,0.0096,0.32,-0.01992764,0.3492813,0.2104678,0.008650543,0.3125418,0.3461991,0.0361626,0.259359,0.6680667,-0.1307483,0.214053,0.5953777,-0.1206197,0.171078,0.6244904,1.030473,0.1543653,0.580046,1.429695,0.2407574,0.2361882
169,3.610279,-30.46672,5272.996,55.75439,1,1,0,0,0,9,7.75477,3.476414,0.3147447,2.05583,7.704425,12.11018,16.35849,,1.260693,1.253868,1.270798,0.1242228,0.0064,0.32,-0.7190509,0.4913623,0.07965438,0.6764118,0.3983299,0.159637,0.3540038,0.3516501,0.2721937,0.5254844,0.2735189,0.2731102,0.4810634,0.160764,0.5296802,0.4372564,0.145194,0.4910681,0.4737653,0.2281744,0.1969522
172,3.629748,-30.46673,3762.674,54.30692,1,1,0,0,0,10,8.925461,3.150385,0.3678682,2.205992,8.809694,11.24684,12.82736,,1.242833,1.238523,1.25454,0.2265212,0.032,0.32,0.0008127762,0.5431131,0.214823,0.09587392,0.4934065,0.3428134,0.9169207,0.4098683,0.6601748,1.072927,0.3281817,0.6250746,1.053646,0.2676951,0.629446,1.15192,0.2429387,0.5779543,1.256807,0.3743216,0.2411308
189,3.596981,-30.46664,6304.51,63.50256,1,1,0,0,0,10,10.88136,3.387789,0.2667975,2.517022,9.483798,11.93134,14.411,,1.258137,1.252826,1.27024,0.08607538,0.0064,0.32,-0.1484347,0.2235743,0.229879,0.07835859,0.1717595,0.5129883,0.2247283,0.1543562,0.8440751,0.4108756,0.1250509,0.7806716,0.2659304,0.1054337,0.735804,0.2398601,0.09595594,0.6717769,0.334355,0.1502349,0.2714453
201,3.629232,-30.4666,3802.681,66.81369,1,1,0,0,0,10,6.636007,3.197556,0.1789951,1.017551,4.221539,7.199975,11.27482,,1.240325,1.234445,1.251563,0.1497723,0.0288,0.32,-0.1272236,0.3310267,0.2139919,0.7019181,0.2998299,0.3435419,0.5019404,0.2485832,0.6641501,0.6371036,0.1991153,0.6283668,0.7209669,0.1782067,0.5255977,0.8268092,0.1612574,0.485411,0.4235019,0.2525571,0.1960133
205,3.642596,-30.46655,2766.009,70.71199,1,1,0,0,0,7,6.664676,3.586489,0.4409922,1.844994,6.01809,8.579751,16.68564,,1.219088,1.215419,1.230202,0.09503164,0.0112,0.32,,,,0.626593,0.5040039,0.0597237,1.164923,0.4200717,0.1142478,0.142154,0.3341296,0.1096169,0.648668,0.271675,0.1110931,0.8661191,0.2430447,0.1049692,0.545031,0.3728684,0.04417519
216,3.593845,-30.46652,6547.823,73.84307,1,1,0,0,0,10,10.57279,1.799171,0.2737367,2.465651,9.46865,11.77081,14.4713,,1.253935,1.248455,1.263798,0.08915116,0.008,0.32,0.04440429,0.2327407,0.2295797,0.02865602,0.1792802,0.5095882,0.2625746,0.1603141,0.8468781,0.4239569,0.1299958,0.7818416,0.3450693,0.1193129,0.6218442,0.2091971,0.1169758,0.4892288,0.4132867,0.181835,0.2005414
217,3.625309,-30.4665,4106.99,75.50415,1,1,0,0,0,10,9.608296,4.991596,0.5914846,2.921671,10.38788,14.39698,16.84728,,1.250993,1.245187,1.261738,0.1154064,0.008,0.32,-0.1227565,0.2934713,0.2152877,-0.2609229,0.2743063,0.3245525,0.1728415,0.2207076,0.6661962,0.3908569,0.1763973,0.6330905,0.452746,0.1480453,0.6021978,0.3807078,0.1345826,0.5510596,0.4114257,0.2098664,0.2244636
218,3.596078,-30.46654,6374.569,72.44235,1,1,0,0,0,10,7.809163,8.297026,1.699819,6.590928,7.693203,7.990499,8.264688,,1.253535,1.249348,1.265586,0.1447317,0.0704,0.32,-0.04744562,0.3020413,0.2296358,1.182027,0.2319583,0.5128123,1.095,0.2074595,0.8519058,0.9916825,0.1677293,0.79114,0.8363552,0.1456576,0.7028843,1.343403,0.1447437,0.5382676,1.363585,0.2159544,0.2395129
219,3.591872,-30.4666,6700.884,67.06006,1,1,0,0,0,11,6.605646,7.027226,6.543549,6.57603,6.605169,6.631791,6.655802,,1.244783,1.241182,1.254633,0.3302134,0.2496,0.32,0.7049796,0.2246634,0.2276557,2.708926,0.1721617,0.5105944,2.977346,0.1541275,0.8465816,3.098494,0.1247399,0.7845692,3.576371,0.118214,0.5853069,5.661028,0.1193124,0.4345075,3.894841,0.1879165,0.1734981
220,3.591715,-30.46656,6713.017,70.36622,1,1,0,0,0,11,6.625087,7.353678,6.278194,6.447224,6.60258,6.734662,6.874772,,1.244739,1.240993,1.255327,0.4206723,0.2656,0.48,0.9934256,0.3565882,0.2290844,3.190236,0.2792312,0.5084206,3.803245,0.2543349,0.8377107,3.159593,0.2039367,0.7847505,4.417999,0.1866027,0.6159028,6.156401,0.1848924,0.4621198,6.055868,0.2684966,0.1992717
222,3.591184,-30.46651,6754.246,74.99529,1,1,0,0,0,11,7.754823,4.158047,0.1690908,1.554274,6.499887,7.87516,8.805431,,1.246268,1.240742,1.254002,0.1200028,0.0064,0.32,0.09606524,0.2738642,0.2293672,0.5667158,0.2115166,0.5064297,0.5518965,0.1886031,0.8464288,0.4497808,0.1567346,0.743997,0.3100593,0.1462942,0.572171,0.5880822,0.1457454,0.4359515,0.6242605,0.2283179,0.1759557
227,3.591356,-30.46651,6740.907,75.15182,1,1,0,0,0,11,6.010918,4.113213,0.6758696,1.206807,4.691032,6.102293,6.73119,,1.242895,1.239494,1.254414,0.3646965,0.072,0.32,0.3152248,0.6747999,0.2306497,1.241728,0.5233615,0.5050165,1.330348,0.4693349,0.8344947,1.194454,0.3792272,0.7758953,2.205539,0.3491737,0.613194,2.806893,0.3391192,0.4916137,2.076334,0.5294361,0.1997823
245,3.628143,-30.46644,3887.218,80.41188,1,1,0,0,0,10,9.248769,3.881188,0.4515418,2.059211,9.203015,10.66243,12.12093,,1.246655,1.241766,1.25681,0.1398789,0.032,0.32,-0.03497187,0.3086412,0.2164752,-0.1376878,0.2801618,0.3460223,0.747342,0.2328553,0.6656255,0.5223816,0.1883718,0.6174235,0.6600468,0.1556344,0.606014,0.7517976,0.1403694,0.5633737,0.5791946,0.2200747,0.227016
260,3.626285,-30.46638,4031.282,85.85797,1,1,0,0,0,10,11.36692,4.383202,0.5237522,2.946755,11.02197,14.74529,16.91057,,1.251841,1.247733,1.265053,0.1678689,0.008,0.32,-0.3360872,0.4150929,0.2170677,0.1988015,0.3782937,0.344218,0.09508122,0.3143945,0.66225,0.5418295,0.2507032,0.6322156,0.7770061,0.2086788,0.6113741,0.6635171,0.1874636,0.5728983,0.9479369,0.3009104,0.2202382
292,3.637925,-30.46633,3128.323,90.20023,1,1,0,0,0,7,10.5944,3.84611,0.4348148,3.068342,10.23037,12.15595,15.04201,,1.232457,1.228616,1.242222,0.6594068,0.0672,0.32,,,,-0.1951078,0.4932405,0.06220592,0.7419155,0.4149315,0.1168091,1.312132,0.3307952,0.1115639,1.875026,0.3306684,0.07480589,1.163758,0.2971196,0.07006583,2.327575,0.4547812,0.02962233
293,3.638052,-30.46629,3118.486,93.97162,1,1,0,0,0,7,12.10829,1.367499,3.206815,11.49205,12.69047,14.2019,14.98785,,1.233649,1.230271,1.244803,0.8991098,0.1504,0.32,,,,-0.3677907,0.4905781,0.06288294,0.3944293,0.4108605,0.1191354,2.076248,0.3329851,0.1101014,2.2875,0.3124649,0.08377583,1.852041,0.2680573,0.08608222,2.098905,0.4034593,0.03763784
299,3.602158,-30.46645,5902.935,80.55629,1,1,0,0,0,9,7.565202,14.53977,7.231801,7.336077,7.520478,7.573297,7.590806,,1.259677,1.255862,1.269905,0.3296883,0.4112,0.48,-0.1507748,0.3550753,0.2310406,6.76116,0.298334,0.4453952,7.189627,0.2535093,0.8431762,6.749188,0.2105773,0.7360366,6.085825,0.1771338,0.6835105,6.277825,0.1579732,0.6330317,11.67353,0.2352029,0.2596797
309,3.646193,-30.46615,2487.003,106.5046,1,1,0,0,0,7,14.52248,3.319891,0.6745349,3.266253,12.17898,15.39396,17.91332,,1.221358,1.217402,1.232548,0.1922803,0.0096,0.32,,,,-0.2085176,0.9660583,0.05907896,0.0940808,0.8020276,0.1139045,1.326762,0.6429462,0.1075928,1.960686,0.5203242,0.1100686,1.744686,0.4642754,0.1045461,1.744139,0.7121029,0.04401787
313,3.640403,-30.46612,2936.09,109.6646,1,1,0,0,0,7,6.663014,0.9280651,0.1180723,1.184726,4.777202,6.731146,11.57627,,1.223814,1.220914,1.234845,0.09388116,0.0144,0.32,,,,0.7581727,0.4985179,0.06089584,0.7900071,0.4156311,0.1164162,0.7525941,0.3323142,0.1105464,0.859899,0.283163,0.1020113,1.239423,0.243875,0.1040002,0.3015992,0.395952,0.03907861
334,3.590974,-30.46605,6770.523,116.2015,1,1,0,0,0,11,6.420368,8.827611,2.48291,6.079737,6.316851,6.515561,6.624415,,1.245326,1.242026,1.254935,0.2130821,0.0432,0.32,0.5292051,0.4030559,0.2275847,0.9882165,0.3580742,0.3797814,1.165711,0.3279081,0.6018048,0.6987809,0.2686113,0.5444076,1.107567,0.2015776,0.6476899,1.875054,0.2019431,0.4880238,1.475498,0.3138879,0.2000809
346,3.595782,-30.46597,6397.498,123.9767,1,1,0,0,0,10,7.080621,4.166942,0.3049944,1.625201,6.997318,7.918579,9.284868,,1.254504,1.2499,1.263331,0.1263747,0.0096,0.32,0.08071978,0.2678498,0.2291417,0.5211899,0.2109381,0.4866119,0.6382522,0.1883816,0.8107669,0.409478,0.1561692,0.716135,0.4887428,0.1402962,0.5945287,0.4413159,0.140989,0.4451867,0.4961186,0.222314,0.1773512
397,3.601927,-30.46581,5920.87,138.3907,1,1,0,0,0,9,6.182854,2.609754,2.437001,6.144732,6.285775,6.455672,6.576935,,1.259533,1.254031,1.268903,0.100969,0.0544,0.32,0.6389772,0.2267887,0.2325756,0.8269475,0.1875466,0.4479141,0.7527497,0.1579201,0.8394955,0.7578386,0.12819,0.7733887,0.7048537,0.118582,0.605547,1.195486,0.1186792,0.4571759,0.7784167,0.1917814,0.1734105
406,3.647129,-30.46573,2414.359,144.0893,1,1,0,0,0,7,12.10058,3.422982,0.5770298,2.968816,10.52922,12.94457,14.64554,,1.219415,1.216643,1.229125,0.2317133,0.0144,0.32,,,,-0.7303491,1.341879,0.06025878,0.2610279,1.132825,0.1123573,3.252805,0.9024258,0.1074773,1.439111,0.8296593,0.085196,3.410697,0.7156381,0.08659233,4.037083,1.123301,0.03481205
407,3.608136,-30.46573,5439.161,144.8337,1,1,0,0,0,9,8.257195,9.744569,0.3642495,1.783005,6.670384,9.882292,12.33078,,1.266482,1.260362,1.274853,0.1726814,0.008,0.32,-0.1366902,0.406559,0.2291737,0.2398126,0.3157785,0.500326,0.8274463,0.2820503,0.8333837,0.3848546,0.2279277,0.7746701,0.7131657,0.1827562,0.8073199,0.6075202,0.1802937,0.6273019,0.8227436,0.2790027,0.2594635
417,3.617852,-30.46569,4685.508,148.3431,1,1,0,0,0,10,8.445935,4.168751,0.3445736,1.539408,7.483476,8.938645,11.30647,,1.261839,1.255729,1.273224,0.1831773,0.016,0.32,-0.2414952,0.4159958,0.221278,0.7385111,0.3536869,0.4031662,0.7656608,0.3193159,0.6572963,0.6113679,0.2530534,0.6353177,0.8602212,0.2107012,0.6139885,0.6144042,0.1895214,0.5738855,1.040372,0.2957063,0.2334942
419,3.648246,-30.46566,2327.697,150.0133,1,1,0,0,0,7,7.29002,4.047897,0.2788373,1.542693,5.948856,9.365201,12.67797,,1.212838,1.210308,1.222497,0.1312371,0.0096,0.32,,,,0.9942007,0.6607076,0.05893118,1.116499,0.5452567,0.1149852,1.043504,0.4357373,0.1092968,1.34299,0.3623024,0.1059237,0.9562236,0.3366427,0.09277797,1.6306,0.502054,0.04131787
421,3.607185,-30.46567,5512.955,150.236,1,1,0,0,0,9,7.531346,6.092536,0.3925272,7.133682,8.810318,10.37448,11.31914,,1.265451,1.259423,1.275842,0.08451724,0.0288,0.32,-0.2110282,0.2234017,0.2302343,0.1882694,0.1739292,0.5002695,0.5064328,0.1562094,0.8241662,0.6310537,0.1255288,0.7747386,0.3140984,0.1066814,0.7186938,0.5422707,0.1111531,0.5006397,0.6239768,0.1648107,0.2255556
442,3.626396,-30.46561,4022.694,155.2081,1,1,0,0,0,10,6.4616,7.991732,0.1190829,1.812416,6.382461,8.150936,10.70157,,1.247568,1.243729,1.260756,0.1696722,0.0224,0.32,-0.07911532,0.3773363,0.2166749,0.5678475,0.3459431,0.3395179,0.6983919,0.285326,0.6632383,0.5661327,0.2278734,0.6312155,0.4348715,0.1889688,0.6149839,0.8931693,0.1695396,0.5777625,0.412735,0.2668551,0.2309915
444,3.594345,-30.46577,6508.975,141.277,1,1,0,0,0,10,6.602324,7.39754,6.512275,6.560201,6.599504,6.633352,6.673386,,1.252356,1.247925,1.262296,0.310017,0.856,0.7,3.665353,0.551312,0.2290173,13.84136,0.5052334,0.3777421,14.28856,0.4629312,0.6043338,13.94162,0.4008654,0.5186876,17.60309,0.293155,0.6458305,22.7678,0.2907274,0.4955921,21.48061,0.4307761,0.2005223
456,3.618333,-30.46561,4648.188,155.996,1,1,0,0,0,10,7.608201,0.8567829,1.464755,7.079988,7.412406,7.736346,8.176871,,1.260327,1.255765,1.270128,0.388418,0.0896,0.32,0.07993504,0.5747068,0.2159398,2.337319,0.4820685,0.4042165,2.494458,0.4463002,0.6266968,2.134517,0.3449682,0.6367461,2.118257,0.2887888,0.6087554,2.692811,0.2595209,0.5700412,3.721473,0.4101877,0.2260171
469,3.587536,-30.46556,7037.184,160.862,1,1,0,0,0,4,7.423306,2.493884,0.4216071,2.257982,7.358724,14.17592,19.00781,,1.243391,1.239566,1.251291,0.1623965,0.0336,0.32,,,,1.206478,0.7572732,0.06377481,,,,,,,3.160768,0.4211173,0.1114603,,,,,,
481,3.590845,-30.46549,6780.499,166.5006,1,1,0,0,0,11,6.143978,2.788949,0.2926579,1.431362,4.83777,8.004126,15.26758,,1.246943,1.243663,1.257919,0.1088039,0.0032,0.32,0.3230583,0.2466433,0.2292618,0.3691201,0.2206655,0.3772313,0.175352,0.2020342,0.5980081,0.2932132,0.1677698,0.5264317,0.3278047,0.1245738,0.6397276,0.3938628,0.1282159,0.4566805,0.3391145,0.1934474,0.1987128
514,3.642468,-30.46548,2775.907,166.9011,1,1,0,0,0,7,6.673044,4.835527,5.78946,6.260178,6.639591,6.718656,6.77696,,1.221975,1.219447,1.230845,0.2879681,0.224,0.48,,,,4.372721,1.473582,0.06076675,5.819716,1.256337,0.1142765,5.285269,1.086582,0.09201553,11.03093,0.8179864,0.1066889,19.68868,0.7453314,0.09465796,13.54792,1.076597,0.04125539
520,3.603347,-30.46542,5810.69,173.4263,1,1,0,0,0,9,6.533679,8.431794,6.214226,6.34737,6.481454,6.563719,6.605315,,1.263272,1.257581,1.272526,0.1357043,0.1216,0.32,0.8188446,0.2880764,0.2279234,1.295447,0.2359257,0.4475688,1.548122,0.2064152,0.7769747,1.633137,0.1675648,0.7157113,1.732323,0.1506686,0.593112,3.822046,0.152775,0.4362396,2.324449,0.2354745,0.1818853
522,3.592615,-30.46536,6643.196,178.5112,1,1,0,0,0,10,6.761158,3.149087,0.4289046,1.984432,6.819522,12.25397,17.98452,,1.252004,1.246645,1.260571,0.1167278,0.0144,0.32,-0.1027439,0.267019,0.2312939,0.07592234,0.238394,0.3821765,0.337875,0.2197599,0.5976374,0.2675097,0.1774258,0.5565627,0.3447994,0.1360406,0.6342926,0.5597648,0.1360261,0.4797659,0.3073534,0.213444,0.1930019
533,3.590123,-30.46532,6836.487,182.0073,1,1,0,0,0,11,6.366711,8.377667,0.1260561,1.814183,6.194483,6.991328,8.921461,,1.247029,1.242387,1.257998,0.08808921,0.0128,0.32,0.2683529,0.2234489,0.2301371,0.3840896,0.1999868,0.3783959,0.6194285,0.1865703,0.5777559,0.3839364,0.1544509,0.5117538,0.1992798,0.1179318,0.5881109,0.5479706,0.1173594,0.4490899,0.3286479,0.1845641,0.1798581
539,3.618462,-30.46528,4638.12,185.8245,1,1,0,0,0,10,12.28354,1.377004,0.3986251,2.636147,10.96409,13.32976,14.99139,,1.26729,1.262351,1.279209,0.109899,0.024,0.32,-0.01114326,0.2384416,0.223617,0.1440396,0.203676,0.4036411,0.1199418,0.1870034,0.6362917,0.5554608,0.1447565,0.6446026,0.4661966,0.1143182,0.6924944,0.4854373,0.1124902,0.5408348,0.501171,0.1750553,0.2212073
547,3.605905,-30.46539,5612.228,175.548,1,1,0,0,0,9,9.250695,3.685972,0.1905252,2.606635,9.334392,10.09798,10.65987,,1.269341,1.265413,1.281214,0.5694415,0.0768,0.32,0.1034279,0.2228364,0.2314041,0.3070976,0.1735153,0.502659,1.076527,0.1551602,0.8353509,1.064686,0.1250902,0.7801813,0.9211305,0.1167123,0.600465,0.7430056,0.1185425,0.4401701,0.6680096,0.1843555,0.1802652
565,3.59963,-30.46521,6099.02,192.493,1,1,0,0,0,9,10.63122,2.685452,0.322335,1.779272,9.091377,10.72573,11.43633,,1.267888,1.261487,1.276091,0.4618161,0.0544,0.32,0.08005708,0.2244382,0.2281128,0.1238824,0.1996619,0.3796284,0.7703335,0.182758,0.602111,0.7759806,0.1487314,0.5518699,0.9196386,0.1136305,0.6334773,0.839952,0.11411,0.4750307,0.9119344,0.176835,0.195924
568,3.62985,-30.46519,3754.734,193.1571,1,1,0,0,0,10,6.911954,3.113756,0.1653955,1.167072,4.671926,7.241938,9.197138,,1.244674,1.239848,1.256673,0.3694767,0.0672,0.32,0.7885461,0.8319604,0.1915618,1.478651,0.7154712,0.3411426,2.067318,0.5924997,0.6610345,1.96955,0.4771339,0.6187749,1.94232,0.4096816,0.5623404,2.500369,0.3799821,0.4943261,2.118116,0.5791482,0.2107734
587,3.602497,-30.46516,5876.594,196.5026,1,1,0,0,0,9,6.780115,4.330114,0.4166049,1.601212,6.712133,8.456036,12.94466,,1.264643,1.258514,1.276123,0.1491809,0.0432,0.32,-0.4519121,0.3086845,0.2299223,0.501503,0.3036802,0.3128845,0.4687986,0.2543872,0.5925252,0.6040261,0.2053786,0.551823,0.6480154,0.1616271,0.596981,0.9523702,0.1560757,0.4841343,0.8211035,0.2448636,0.1948245
591,3.602665,-30.46513,5863.563,199.6281,1,1,0,0,0,9,7.439803,10.20018,7.046128,7.162728,7.34205,7.482385,7.554256,,1.266346,1.259789,1.276788,0.09709388,0.0448,0.32,-0.02810439,0.2254681,0.2260336,0.8973999,0.2227427,0.3050298,0.9234097,0.1826882,0.6025713,0.7308769,0.1546171,0.5106544,0.4860978,0.1182861,0.5845929,0.7096161,0.1180643,0.4437429,1.158855,0.1821355,0.1846864
616,3.630304,-30.46505,3719.496,205.4968,1,1,0,0,0,10,12.49712,5.234548,0.8188236,3.30526,11.65361,13.49037,14.7977,,1.25111,1.247871,1.263979,0.1202809,0.0064,0.32,-0.1472976,0.3235746,0.2157878,-0.260158,0.2961583,0.3392611,0.3169087,0.2462015,0.6523499,0.9318575,0.1975359,0.6151527,0.7845945,0.2211478,0.3288429,1.04357,0.2111654,0.2727443,0.7500715,0.3117804,0.1239251
618,3.601207,-30.4651,5976.667,201.841,1,1,0,0,0,9,11.37589,5.427322,0.4572993,2.802049,10.83682,12.45958,14.78069,,1.27074,1.264819,1.282107,0.5797268,0.088,0.32,-0.2732087,0.9241511,0.230824,-0.245145,0.8548848,0.3552695,1.766301,0.7631239,0.5924655,3.14645,0.616843,0.5504486,3.824211,0.4725203,0.6284983,2.953961,0.4736121,0.4730934,2.83751,0.7533426,0.1852094
627,3.651232,-30.46503,2096.028,207.0038,1,1,0,0,0,7,12.66967,9.37269,0.4596232,4.642354,12.72255,13.97391,15.13366,,1.214215,1.209727,1.222409,0.05390641,0.0176,0.32,,,,-0.3653525,0.5032207,0.05976297,0.05981124,0.4248317,0.1114283,1.235599,0.3385224,0.1065289,1.309663,0.2747044,0.1083902,0.7664317,0.2428096,0.1049149,-0.2441561,0.3732484,0.04397727
635,3.630291,-30.46499,3720.54,211.0138,1,1,0,0,0,10,13.43523,5.582673,0.7465392,3.219275,12.42828,14.38206,15.71778,,1.252617,1.247373,1.264936,0.2265672,0.0128,0.32,-0.4305588,0.5996594,0.2142648,0.1191428,0.546892,0.3392838,0.02700454,0.4546416,0.6523912,1.286269,0.3614026,0.6267246,1.247775,0.3921243,0.3566899,1.800215,0.3724721,0.2989498,1.118311,0.5472878,0.1371544
657,3.62217,-30.46492,4350.492,217.4965,1,1,0,0,0,10,11.88935,3.275738,0.3910645,2.837469,11.14721,12.77938,14.22493,,1.263882,1.258404,1.276035,0.2273156,0.0176,0.32,0.02895282,0.4421348,0.2219627,-0.0112555,0.3762739,0.4036336,0.4593349,0.3346583,0.678067,1.245321,0.2687359,0.6383183,0.8441423,0.2153677,0.6658957,1.021655,0.2104614,0.527315,0.7735535,0.3266745,0.2167905
687,3.626602,-30.46481,4006.653,227.3629,1,1,0,0,0,10,6.659839,35.61547,0.948528,6.344491,6.657655,16.96035,19.61596,,1.25064,1.244456,1.263703,0.2275961,0.024,0.32,-0.16074,0.4281178,0.2192748,0.2491151,0.3908955,0.3464176,-0.3084609,0.3234434,0.6723649,0.1853581,0.2613624,0.6250695,0.558337,0.2199085,0.5915744,2.100376,0.1962574,0.5616797,-0.1706841,0.3162728,0.2142263
692,3.620981,-30.46482,4442.686,226.8557,1,1,0,0,0,10,12.06691,5.460022,0.4689694,2.658599,11.69567,13.17374,14.31955,,1.266068,1.261455,1.278881,0.7152145,0.1072,0.32,-0.09286532,0.2265618,0.2238565,0.2653461,0.1929387,0.4065467,0.2666672,0.1717529,0.6817437,0.9142901,0.1378184,0.6427292,0.8677509,0.1083274,0.697019,0.8936965,0.1076555,0.5336984,0.7420685,0.1676122,0.2180785
693,3.583883,-30.46482,7320.625,227.5244,1,1,0,0,0,4,6.784919,0.5918295,0.4186226,2.49235,7.82772,15.55627,19.22425,,1.238035,1.234129,1.248792,0.3202769,0.0256,0.32,,,,2.323859,2.060739,0.06378918,,,,,,,7.395551,1.114143,0.117946,,,,,,
731,3.620508,-30.46468,4479.416,239.4969,1,1,0,0,0,10,6.359667,2.316404,0.7952718,5.618951,6.334082,6.594643,6.752456,,1.259062,1.255165,1.268503,0.1143151,0.0992,0.32,0.5297518,0.252111,0.2253737,1.201116,0.2160936,0.4040261,1.116777,0.1929264,0.6735811,1.319652,0.1535209,0.6457299,1.738062,0.1220792,0.6841981,2.705881,0.1220575,0.5175871,2.20628,0.1860132,0.2207398
734,3.583704,-30.46463,7334.507,244.5012,1,1,0,0,0,4,9.995143,0.4319932,0.5109794,3.254844,10.17295,16.78644,19.41686,,1.243034,1.24157,1.252912,0.1200738,0.0064,0.32,,,,-0.3751338,0.7067305,0.06302349,,,,,,,2.28969,0.4002791,0.1061833,,,,,,
